Classification,City,Population,Timezone,Area Code(s),Zip
General,Buena Park,45113,Pacific,714/657,90620
General,Buena Park,35153,Pacific,714/657,90621
P.O. Box,Buena Park,,Pacific,714/657,90622
General,La Palma,15554,Pacific,714/657,90623
P.O. Box,Buena Park,,Pacific,714/657,90624
General,Cypress,47993,Pacific,714/657,90630
General,La Habra,67619,Pacific,562,90631
P.O. Box,La Habra,,Pacific,562,90632
P.O. Box,La Habra,,Pacific,562,90633
General,Stanton,29945,Pacific,657/714,90680
General,Los Alamitos,21751,Pacific,562/657,90720
P.O. Box,Los Alamitos,,Pacific,562/657,90721
General,Seal Beach,23729,Pacific,562,90740
P.O. Box,Sunset Beach,831,Pacific,714/562,90742
P.O. Box,Surfside,456,Pacific,714/562,90743
General,Irvine,22871,Pacific,949,92602
General,Irvine,20184,Pacific,949/714/657,92603
General,Irvine,26853,Pacific,949,92604
P.O. Box,Huntington Beach,,Pacific,714/657/562,92605
General,Irvine,21495,Pacific,949/714,92606
P.O. Box,Laguna Niguel,,Pacific,949,92607
P.O. Box,El Toro,,Pacific,949/714,92609
General,Foothill Ranch,11248,Pacific,949,92610
General,Irvine,27522,Pacific,949/714,92612
General,Irvine,24748,Pacific,949/714,92614
P.O. Box,Huntington Beach,,Pacific,714/657/562,92615
P.O. Box,Irvine,,Pacific,949/714,92616
General,Irvine,14044,Pacific,949/714,92617
General,Irvine,16366,Pacific,949/657,92618
P.O. Box,Irvine,,Pacific,949/714,92619
General,Irvine,38486,Pacific,949/657,92620
P.O. Box,Irvine,,Pacific,949/714,92623
General,Capistrano Beach,7248,Pacific,949,92624
General,Corona Del Mar,12478,Pacific,949,92625
General,Costa Mesa,49341,Pacific,714/657/949,92626
General,Costa Mesa,61510,Pacific,949,92627
P.O. Box,Costa Mesa,,Pacific,949,92628
General,Dana Point,25756,Pacific,949,92629
General,Lake Forest,59182,Pacific,949,92630
General,Laguna Woods,16012,Pacific,949,92637
General,Huntington Beach,55224,Pacific,714/657,92646
General,Huntington Beach,57245,Pacific,714/657/562,92647
General,Huntington Beach,45317,Pacific,714/657/562,92648
General,Huntington Beach,32463,Pacific,714/562,92649
P.O. Box,East Irvine,,Pacific,949/657,92650
General,Laguna Beach,23881,Pacific,949,92651
P.O. Box,Laguna Beach,,Pacific,949,92652
General,Laguna Hills,29291,Pacific,949/714,92653
P.O. Box,Laguna Hills,,Pacific,949,92654
General,Midway City,8337,Pacific,714,92655
General,Aliso Viejo,49046,Pacific,949/714,92656
General,Newport Coast,9741,Pacific,949,92657
P.O. Box,Newport Beach,,Pacific,949,92658
P.O. Box,Newport Beach,,Pacific,949,92659
General,Newport Beach,34797,Pacific,949,92660
General,Newport Beach,3744,Pacific,949,92661
General,Newport Beach,2756,Pacific,949,92662
General,Newport Beach,21649,Pacific,949,92663
General,San Clemente,34464,Pacific,949,92672
General,San Clemente,29309,Pacific,949,92673
P.O. Box,San Clemente,,Pacific,949,92674
General,San Juan Capistrano,34731,Pacific,949,92675
General,Silverado,1945,Pacific,657/714,92676
General,Laguna Niguel,63297,Pacific,949,92677
P.O. Box,Trabuco Canyon,494,Pacific,949,92678
General,Trabuco Canyon,32611,Pacific,949,92679
