"Indicator Name","What Is This Indicator","Location Type",Location,"Indicator Rate Value","Indicator Rate Value Units","Rate Lower Confidence Interval","Rate Upper Confidence Interval","Indicator Count Value","Indicator Count Value Units","Count Lower Confidence Interval","Count Upper Confidence Interval","Indicator Value Unstable","Period of Measure","Data Source","Technical Note","Breakout Title","Breakout Category","Breakout Subcategory","Breakout Rate Value","Breakout Rate Value Units","Breakout Rate Lower Confidence Interval","Breakout Rate Upper Confidence Interval","Breakout Count Value","Breakout Count Value Units","Breakout Count Lower Confidence Interval","Breakout Count Upper Confidence Interval","Breakout Unstable","Breakout Footer"
"Median Household Income","This indicator shows the median household income. Household income is defined as the sum of money received over a calendar year by all household members 15 years and older.","Zip Code",90620,88082,dollars,83260,92904,,,,,No,2014-2018,"American Community Survey",,,,,,,,,,,,,,
"Median Household Income","This indicator shows the median household income. Household income is defined as the sum of money received over a calendar year by all household members 15 years and older.","Zip Code",90620,84942,dollars,81220,88664,,,,,No,2013-2017,"American Community Survey",,,,,,,,,,,,,,
"Median Household Income","This indicator shows the median household income. Household income is defined as the sum of money received over a calendar year by all household members 15 years and older.","Zip Code",90620,83524,dollars,80267,86781,,,,,No,2012-2016,"American Community Survey",,,,,,,,,,,,,,
"Median Household Income","This indicator shows the median household income. Household income is defined as the sum of money received over a calendar year by all household members 15 years and older.","Zip Code",90620,81609,dollars,78477,84741,,,,,No,2011-2015,"American Community Survey",,,,,,,,,,,,,,
"Median Household Income","This indicator shows the median household income. Household income is defined as the sum of money received over a calendar year by all household members 15 years and older.","Zip Code",90620,80278,dollars,74460,86096,,,,,No,2010-2014,"American Community Survey",,,,,,,,,,,,,,
"Median Household Income","This indicator shows the median household income. Household income is defined as the sum of money received over a calendar year by all household members 15 years and older.","Zip Code",90620,77526,dollars,72620,82432,,,,,No,2009-2013,"American Community Survey",,,,,,,,,,,,,,
"Median Household Income","This indicator shows the median household income. Household income is defined as the sum of money received over a calendar year by all household members 15 years and older.","Zip Code",90620,76274,dollars,69310,83238,,,,,No,2008-2012,"American Community Survey",,,,,,,,,,,,,,
"Median Household Income","This indicator shows the median household income. Household income is defined as the sum of money received over a calendar year by all household members 15 years and older.","Zip Code",90620,74804,dollars,68113,81495,,,,,No,2007-2011,"American Community Survey",,,,,,,,,,,,,,
"Median Household Income","This indicator shows the median household income. Household income is defined as the sum of money received over a calendar year by all household members 15 years and older.","Zip Code",90621,60799,dollars,57463,64135,,,,,No,2014-2018,"American Community Survey",,,,,,,,,,,,,,
"Median Household Income","This indicator shows the median household income. Household income is defined as the sum of money received over a calendar year by all household members 15 years and older.","Zip Code",90621,58639,dollars,52879,64399,,,,,No,2013-2017,"American Community Survey",,,,,,,,,,,,,,
"Median Household Income","This indicator shows the median household income. Household income is defined as the sum of money received over a calendar year by all household members 15 years and older.","Zip Code",90621,54670,dollars,50273,59067,,,,,No,2012-2016,"American Community Survey",,,,,,,,,,,,,,
"Median Household Income","This indicator shows the median household income. Household income is defined as the sum of money received over a calendar year by all household members 15 years and older.","Zip Code",90621,56201,dollars,50862,61540,,,,,No,2011-2015,"American Community Survey",,,,,,,,,,,,,,
"Median Household Income","This indicator shows the median household income. Household income is defined as the sum of money received over a calendar year by all household members 15 years and older.","Zip Code",90621,56219,dollars,51735,60703,,,,,No,2010-2014,"American Community Survey",,,,,,,,,,,,,,
"Median Household Income","This indicator shows the median household income. Household income is defined as the sum of money received over a calendar year by all household members 15 years and older.","Zip Code",90621,54126,dollars,49647,58605,,,,,No,2009-2013,"American Community Survey",,,,,,,,,,,,,,
"Median Household Income","This indicator shows the median household income. Household income is defined as the sum of money received over a calendar year by all household members 15 years and older.","Zip Code",90621,52643,dollars,49516,55770,,,,,No,2008-2012,"American Community Survey",,,,,,,,,,,,,,
"Median Household Income","This indicator shows the median household income. Household income is defined as the sum of money received over a calendar year by all household members 15 years and older.","Zip Code",90621,54607,dollars,51244,57970,,,,,No,2007-2011,"American Community Survey",,,,,,,,,,,,,,
"Median Household Income","This indicator shows the median household income. Household income is defined as the sum of money received over a calendar year by all household members 15 years and older.","Zip Code",90623,99576,dollars,88221,110931,,,,,No,2014-2018,"American Community Survey",,,,,,,,,,,,,,
"Median Household Income","This indicator shows the median household income. Household income is defined as the sum of money received over a calendar year by all household members 15 years and older.","Zip Code",90623,91131,dollars,86055,96207,,,,,No,2013-2017,"American Community Survey",,,,,,,,,,,,,,
"Median Household Income","This indicator shows the median household income. Household income is defined as the sum of money received over a calendar year by all household members 15 years and older.","Zip Code",90623,83857,dollars,78993,88721,,,,,No,2012-2016,"American Community Survey",,,,,,,,,,,,,,
"Median Household Income","This indicator shows the median household income. Household income is defined as the sum of money received over a calendar year by all household members 15 years and older.","Zip Code",90623,82182,dollars,78911,85453,,,,,No,2011-2015,"American Community Survey",,,,,,,,,,,,,,
"Median Household Income","This indicator shows the median household income. Household income is defined as the sum of money received over a calendar year by all household members 15 years and older.","Zip Code",90623,83767,dollars,80501,87033,,,,,No,2010-2014,"American Community Survey",,,,,,,,,,,,,,
"Median Household Income","This indicator shows the median household income. Household income is defined as the sum of money received over a calendar year by all household members 15 years and older.","Zip Code",90623,85100,dollars,80061,90139,,,,,No,2009-2013,"American Community Survey",,,,,,,,,,,,,,
"Median Household Income","This indicator shows the median household income. Household income is defined as the sum of money received over a calendar year by all household members 15 years and older.","Zip Code",90623,86618,dollars,81248,91988,,,,,No,2008-2012,"American Community Survey",,,,,,,,,,,,,,
"Median Household Income","This indicator shows the median household income. Household income is defined as the sum of money received over a calendar year by all household members 15 years and older.","Zip Code",90623,84218,dollars,79821,88615,,,,,No,2007-2011,"American Community Survey",,,,,,,,,,,,,,
"Median Household Income","This indicator shows the median household income. Household income is defined as the sum of money received over a calendar year by all household members 15 years and older.","Zip Code",90630,92073,dollars,88366,95780,,,,,No,2014-2018,"American Community Survey",,,,,,,,,,,,,,
"Median Household Income","This indicator shows the median household income. Household income is defined as the sum of money received over a calendar year by all household members 15 years and older.","Zip Code",90630,90165,dollars,85843,94487,,,,,No,2013-2017,"American Community Survey",,,,,,,,,,,,,,
"Median Household Income","This indicator shows the median household income. Household income is defined as the sum of money received over a calendar year by all household members 15 years and older.","Zip Code",90630,84421,dollars,80739,88103,,,,,No,2012-2016,"American Community Survey",,,,,,,,,,,,,,
"Median Household Income","This indicator shows the median household income. Household income is defined as the sum of money received over a calendar year by all household members 15 years and older.","Zip Code",90630,81889,dollars,79189,84589,,,,,No,2011-2015,"American Community Survey",,,,,,,,,,,,,,
"Median Household Income","This indicator shows the median household income. Household income is defined as the sum of money received over a calendar year by all household members 15 years and older.","Zip Code",90630,84051,dollars,80359,87743,,,,,No,2010-2014,"American Community Survey",,,,,,,,,,,,,,
"Median Household Income","This indicator shows the median household income. Household income is defined as the sum of money received over a calendar year by all household members 15 years and older.","Zip Code",90630,78745,dollars,74247,83243,,,,,No,2009-2013,"American Community Survey",,,,,,,,,,,,,,
"Median Household Income","This indicator shows the median household income. Household income is defined as the sum of money received over a calendar year by all household members 15 years and older.","Zip Code",90630,80838,dollars,75849,85827,,,,,No,2008-2012,"American Community Survey",,,,,,,,,,,,,,
"Median Household Income","This indicator shows the median household income. Household income is defined as the sum of money received over a calendar year by all household members 15 years and older.","Zip Code",90630,83360,dollars,80577,86143,,,,,No,2007-2011,"American Community Survey",,,,,,,,,,,,,,
"Median Household Income","This indicator shows the median household income. Household income is defined as the sum of money received over a calendar year by all household members 15 years and older.","Zip Code",90631,79500,dollars,76337,82663,,,,,No,2014-2018,"American Community Survey",,,,,,,,,,,,,,
"Median Household Income","This indicator shows the median household income. Household income is defined as the sum of money received over a calendar year by all household members 15 years and older.","Zip Code",90631,76910,dollars,73884,79936,,,,,No,2013-2017,"American Community Survey",,,,,,,,,,,,,,
"Median Household Income","This indicator shows the median household income. Household income is defined as the sum of money received over a calendar year by all household members 15 years and older.","Zip Code",90631,69425,dollars,66295,72555,,,,,No,2012-2016,"American Community Survey",,,,,,,,,,,,,,
"Median Household Income","This indicator shows the median household income. Household income is defined as the sum of money received over a calendar year by all household members 15 years and older.","Zip Code",90631,67797,dollars,64723,70871,,,,,No,2011-2015,"American Community Survey",,,,,,,,,,,,,,
"Median Household Income","This indicator shows the median household income. Household income is defined as the sum of money received over a calendar year by all household members 15 years and older.","Zip Code",90631,66553,dollars,63996,69110,,,,,No,2010-2014,"American Community Survey",,,,,,,,,,,,,,
"Median Household Income","This indicator shows the median household income. Household income is defined as the sum of money received over a calendar year by all household members 15 years and older.","Zip Code",90631,65804,dollars,63360,68248,,,,,No,2009-2013,"American Community Survey",,,,,,,,,,,,,,
"Median Household Income","This indicator shows the median household income. Household income is defined as the sum of money received over a calendar year by all household members 15 years and older.","Zip Code",90631,64896,dollars,62008,67784,,,,,No,2008-2012,"American Community Survey",,,,,,,,,,,,,,
"Median Household Income","This indicator shows the median household income. Household income is defined as the sum of money received over a calendar year by all household members 15 years and older.","Zip Code",90631,66985,dollars,64240,69730,,,,,No,2007-2011,"American Community Survey",,,,,,,,,,,,,,
"Median Household Income","This indicator shows the median household income. Household income is defined as the sum of money received over a calendar year by all household members 15 years and older.","Zip Code",90680,58402,dollars,55473,61331,,,,,No,2014-2018,"American Community Survey",,,,,,,,,,,,,,
"Median Household Income","This indicator shows the median household income. Household income is defined as the sum of money received over a calendar year by all household members 15 years and older.","Zip Code",90680,53492,dollars,50002,56982,,,,,No,2013-2017,"American Community Survey",,,,,,,,,,,,,,
"Median Household Income","This indicator shows the median household income. Household income is defined as the sum of money received over a calendar year by all household members 15 years and older.","Zip Code",90680,50293,dollars,47315,53271,,,,,No,2012-2016,"American Community Survey",,,,,,,,,,,,,,
"Median Household Income","This indicator shows the median household income. Household income is defined as the sum of money received over a calendar year by all household members 15 years and older.","Zip Code",90680,48384,dollars,45607,51161,,,,,No,2011-2015,"American Community Survey",,,,,,,,,,,,,,
"Median Household Income","This indicator shows the median household income. Household income is defined as the sum of money received over a calendar year by all household members 15 years and older.","Zip Code",90680,47796,dollars,45120,50472,,,,,No,2010-2014,"American Community Survey",,,,,,,,,,,,,,
"Median Household Income","This indicator shows the median household income. Household income is defined as the sum of money received over a calendar year by all household members 15 years and older.","Zip Code",90680,49294,dollars,47017,51571,,,,,No,2009-2013,"American Community Survey",,,,,,,,,,,,,,
