NAME,ST_FIPS,CTY_FIPS,Zip,Shape_area,Shape_len,AreaKm
La Habra,6,37,90631,15368910.12,19411.87759,15.36891012
Brea,6,59,92821,27595259.37,26237.51943,27.59525937
Brea,6,59,92823,27648345.49,26273.27226,27.64834549
La Habra,6,59,90631,19740152.77,22452.86404,19.74015277
Fullerton,6,59,92835,15036654.24,27103.17663,15.03665424
Yorba Linda,6,59,92886,38650784.11,40532.34316,38.65078411
Placentia,6,59,92870,17506812.06,34287.11614,17.50681206
Yorba Linda,6,59,92887,23857676,32206.93184,23.857676
Fullerton,6,59,92833,19845413.81,22947.61643,19.84541381
Fullerton,6,59,92831,15847740.39,19825.74555,15.84774039
Buena Park,6,59,90621,10364205.92,17466.72455,10.36420592
Fullerton,6,59,92832,7076421.273,13308.3503,7.076421273
Anaheim,6,59,92807,29921720.69,41484.21767,29.92172069
Buena Park,6,59,90620,17041529.64,30113.30956,17.04152964
Anaheim,6,59,92808,16759270.98,23421.25556,16.75927098
Anaheim,6,59,92806,20228302.72,28417.73018,20.22830272
Anaheim,6,59,92801,15633210.24,30022.50282,15.63321024
La Palma,6,59,90623,4713565.514,13407.77688,4.713565514
Anaheim,6,59,92805,16940391.12,20525.40975,16.94039112
La Palma,6,37,90623,76.25878402,86.77346091,7.62588E-05
La Palma,6,37,90623,78558.45772,1278.983998,0.078558458
Orange,6,59,92865,9447176.412,13554.27099,9.447176412
Cypress,6,59,90630,15939689.08,25234.5933,15.93968908
Cypress,6,37,90630,65467.54647,1631.631388,0.065467546
Orange,6,59,92867,20369932.45,43903.09931,20.36993245
Anaheim,6,59,92802,11590031.6,19329.03672,11.5900316
Anaheim,6,59,92804,18087314.07,25590.33568,18.08731407
Villa Park,6,59,92861,5716253.404,14825.30581,5.716253404
Orange,6,59,92869,25170023.06,35143.72775,25.17002306
Los Alamitos,6,59,90720,15948994.39,21068.56584,15.94899439
Stanton,6,59,90680,6919709.078,20368.53361,6.919709078
Garden Grove,6,59,92840,13484938,19984.44218,13.484938
Garden Grove,6,59,92841,11929020.43,24705.99054,11.92902043
Orange,6,59,92868,8704177.694,18274.63671,8.704177694
Anaheim,6,59,92804,453753.3098,3843.745663,0.45375331
Orange,6,59,92866,5100476.801,10750.96642,5.100476801
Garden Grove,6,59,92845,5633292.928,9684.617097,5.633292928
Santa Ana,6,59,92705,29780931.07,62984.26366,29.78093107
Seal Beach,6,59,90740,30013808.3,29571.78758,30.0138083
Irvine,6,59,92602,29461368.29,35012.64443,29.46136829
Tustin,6,59,92782,14637431.33,35212.08346,14.63743133
Santa Ana,6,59,92706,9175078.023,19790.8518,9.175078023
Westminster,6,59,92683,25762393.98,45156.14836,25.76239398
Garden Grove,6,59,92843,10237648.25,24760.29771,10.23764825
Garden Grove,6,59,92844,5507124.608,13960.90092,5.507124608
Tustin,6,59,92780,16745720.21,27682.98734,16.74572021
Santa Ana,6,59,92703,10654116.95,21720.82095,10.65411695
,6,59,92701,8365614.966,13948.82044,8.365614966
Foothill Ranch,6,59,92610,29893470.73,36488.6937,29.89347073
Huntington Beach,6,59,92647,19972538.01,28350.01555,19.97253801
Midway City,6,59,92655,1751535.262,9934.415976,1.751535262
Irvine,6,59,92618,72726974.8,46057.19975,72.7269748
Santa Ana,6,59,92704,19646897.35,28672.23282,19.64689735
Huntington Beach,6,59,92649,14671836.47,20589.93843,14.67183647
Irvine,6,59,92620,16367677.77,20424.21915,16.36767777
Santa Ana,6,59,92707,14104962.55,28024.85368,14.10496255
Fountain Valley,6,59,92708,23550812.45,22830.04917,23.55081245
Sunset Beach,6,59,90742,254625.1344,4148.847818,0.254625134
Irvine,6,59,92606,8217251.465,20050.22654,8.217251465
Trabuco Canyon,6,59,92679,90122415.5,80212.94566,90.1224155
Irvine,6,59,92604,8877009.846,12274.30767,8.877009846
Huntington Beach,6,59,92648,20540095.55,23039.66429,20.54009555
Irvine,6,59,92614,11537542.38,20132.15373,11.53754238
Costa Mesa,6,59,92626,24623211.66,25623.00196,24.62321166
Huntington Beach,6,59,92646,21704329.74,22630.1131,21.70432974
San Juan Capistrano,6,59,92675,286114965.8,112907.5047,286.1149658
Irvine,6,59,92612,17222522.46,24865.53296,17.22252246
Lake Forest,6,59,92630,26850387.6,29968.83008,26.8503876
Costa Mesa,6,59,92627,17037015.01,27021.97329,17.03701501
Newport Beach,6,59,92660,26261658.49,32389.52587,26.26165849
Mission Viejo,6,59,92692,25380064.68,37937.6214,25.38006468
Rancho Santa Margarita,6,59,92688,23606597.67,32223.97187,23.60659767
Mission Viejo,6,59,92691,22860243.23,31837.29951,22.86024323
Irvine,6,59,92603,34306526.65,32659.69147,34.30652665
Irvine,6,59,92617,5906951.853,12506.3767,5.906951853
Newport Beach,6,59,92663,9949086.02,19594.61647,9.94908602
Laguna Hills,6,59,92653,17308021.95,30503.49781,17.30802195
Newport Coast,6,59,92657,23813717.24,30304.57264,23.81371724
Laguna Woods,6,59,92637,8065200.674,22007.97342,8.065200674
Corona del Mar,6,59,92625,6404378.365,19041.98068,6.404378365
